ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
IL6,IL6R,Endothelial,Mast cell,0.2273,0.3976,0.0904
CD80,CTLA4,Dendritic cell,Endothelial,0.5681,0.1583,0.0899
SPP1,CD44,T cell,Myeloid/Macro,0.0489,1.8373,0.0898
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.1517,0.5912,0.0897
SPP1,CD44,T cell,Unknown,0.0489,1.8285,0.0894
PDGFA,PDGFRA,Fibroblast,Fibroblast,0.3521,0.253,0.0891
TNF,TNFRSF1A,Fibroblast,Endothelial,0.2258,0.3849,0.0869
VEGFA,FLT1,Mast cell,Dendritic cell,1.0928,0.0795,0.0869
SPP1,CD44,T cell,T cell,0.0489,1.7708,0.0866
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.1462,0.5912,0.0864
TGFB1,TGFBR2,B cell,Tumor epithelial,0.9361,0.0916,0.0858
SPP1,CD44,Tumor epithelial,Plasma cell,0.0759,1.129,0.0857
SPP1,CD44,NK cell,Plasma cell,0.0755,1.129,0.0853
CXCL12,CXCR4,Endothelial,Dendritic cell,0.0569,1.493,0.085
SPP1,CD44,T cell,NK cell,0.0489,1.7125,0.0837
VEGFA,FLT1,Dendritic cell,Endothelial,0.0948,0.8809,0.0835
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.9006,0.0916,0.0825
CCL5,CCR5,Endothelial,Myeloid/Macro,1.0562,0.0774,0.0817
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.1517,0.5293,0.0803
CXCL10,CXCR3,Endothelial,NK cell,0.2335,0.3434,0.0802
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.1187,0.6641,0.0788
CD274,PDCD1,Mast cell,NK cell,0.2346,0.3319,0.0779
CCL5,CCR5,Endothelial,NK cell,1.0562,0.0736,0.0778
IL6,IL6R,Fibroblast,Plasma cell,0.4471,0.174,0.0778
TNF,TNFRSF1A,Mast cell,Fibroblast,0.1462,0.5293,0.0774
VEGFA,KDR,Tumor epithelial,Endothelial,0.4498,0.1706,0.0767
SPP1,CD44,T cell,Dendritic cell,0.0489,1.5537,0.076
CCL5,CCR5,Plasma cell,Dendritic cell,0.6305,0.1186,0.0748
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4498,0.1648,0.0741
CXCL10,CXCR3,Endothelial,T cell,0.2335,0.3153,0.0736
FAS,FASLG,NK cell,NK cell,0.281,0.2589,0.0728
FAS,FASLG,Endothelial,NK cell,0.28,0.2589,0.0725
CCL5,CCR5,Unknown,T cell,0.8071,0.0896,0.0723
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0569,1.2666,0.0721
SPP1,CD44,T cell,B cell,0.0489,1.4617,0.0715
SPP1,CD44,Unknown,Endothelial,0.1038,0.6842,0.071
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.1187,0.5912,0.0702
CD80,CTLA4,Myeloid/Macro,T cell,0.1289,0.5421,0.0699
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7559,0.0916,0.0693
SPP1,CD44,Mast cell,Endothelial,0.1013,0.6842,0.0693
CD80,CTLA4,Dendritic cell,Plasma cell,0.5681,0.1208,0.0686
FAS,FASLG,B cell,NK cell,0.2575,0.2589,0.0667
CD274,PDCD1,Mast cell,Unknown,0.2346,0.2728,0.064
CXCL12,CXCR4,Endothelial,Plasma cell,0.0569,1.1053,0.0629
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.1187,0.5293,0.0628
SPP1,CD44,Unknown,Tumor epithelial,0.1038,0.6047,0.0628
HGF,MET,Fibroblast,Tumor epithelial,0.2072,0.3018,0.0625
CCL5,CCR5,Unknown,Myeloid/Macro,0.8071,0.0774,0.0625
SPP1,CD44,B cell,Mast cell,0.0246,2.5281,0.0623
CD274,PDCD1,Endothelial,T cell,0.1159,0.5323,0.0617
