ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
VEGFA,FLT1,Mast cell,Unknown,1.1046,0.0423,0.0468
CCL5,CCR5,NK cell,B cell,3.395,0.0138,0.0467
SPP1,CD44,Tumor epithelial,Tumor epithelial,0.0759,0.6047,0.0459
CCL5,CCR5,Plasma cell,Myeloid/Macro,0.5908,0.0775,0.0458
SPP1,CD44,B cell,Myeloid/Macro,0.0247,1.8359,0.0454
SPP1,CD44,NK cell,Tumor epithelial,0.0752,0.6047,0.0454
VEGFA,FLT1,Fibroblast,Dendritic cell,0.6013,0.0751,0.0452
SPP1,CD44,B cell,Unknown,0.0247,1.8285,0.0452
CCL2,CCR2,Fibroblast,Plasma cell,1.162,0.0388,0.0451
TNF,TNFRSF1A,NK cell,Unknown,0.3704,0.1213,0.0449
HGF,MET,Fibroblast,Endothelial,0.2072,0.2132,0.0442
CXCL12,CXCR4,Endothelial,Fibroblast,0.0569,0.7732,0.044
SPP1,CD44,B cell,T cell,0.0247,1.7726,0.0438
FAS,FASLG,T cell,T cell,0.4467,0.097,0.0433
VEGFA,KDR,Mast cell,Tumor epithelial,1.1046,0.0392,0.0433
CCL5,CCR5,Plasma cell,NK cell,0.5908,0.0733,0.0433
IL6,IL6R,Fibroblast,Fibroblast,0.4471,0.0968,0.0433
TNF,TNFRSF1A,Dendritic cell,Dendritic cell,0.4539,0.0947,0.043
TNF,TNFRSF1A,B cell,NK cell,0.388,0.1107,0.0429
IL6,IL6R,B cell,Myeloid/Macro,0.0548,0.7757,0.0425
SPP1,CD44,B cell,NK cell,0.0247,1.7159,0.0424
CXCL10,CXCR3,Endothelial,Dendritic cell,0.2335,0.1792,0.0418
TNF,TNFRSF1A,NK cell,NK cell,0.3704,0.1107,0.041
TNF,TNFRSF1A,T cell,Unknown,0.3347,0.1213,0.0406
CCL5,CCR5,Fibroblast,Myeloid/Macro,0.5149,0.0775,0.0399
IL6,IL6R,Endothelial,Plasma cell,0.2273,0.174,0.0395
TNF,TNFRSF1A,Plasma cell,Endothelial,0.1006,0.3849,0.0387
CD274,PDCD1,Endothelial,NK cell,0.1159,0.3303,0.0383
PDGFA,PDGFRA,Mast cell,Fibroblast,0.1504,0.253,0.0381
SPP1,CD44,B cell,Dendritic cell,0.0247,1.5394,0.038
CD80,CTLA4,Myeloid/Macro,Unknown,0.1291,0.2928,0.0378
CCL5,CCR5,Fibroblast,NK cell,0.5149,0.0733,0.0377
PDGFA,PDGFRA,Endothelial,Fibroblast,0.1487,0.253,0.0376
CD274,PDCD1,Tumor epithelial,T cell,0.0707,0.5296,0.0374
CDH1,CDH1,Tumor epithelial,Fibroblast,0.5612,0.0665,0.0373
CDH1,CDH1,Fibroblast,Tumor epithelial,0.0665,0.5612,0.0373
TNF,TNFRSF1A,T cell,NK cell,0.3347,0.1107,0.037
TNF,TNFRSF1A,B cell,Dendritic cell,0.388,0.0947,0.0367
CXCL10,CXCR3,Endothelial,Fibroblast,0.2335,0.1565,0.0365
CXCL10,CXCR3,Endothelial,Unknown,0.2335,0.1549,0.0362
SPP1,CD44,B cell,B cell,0.0247,1.4613,0.0361
TNF,TNFRSF1A,NK cell,Dendritic cell,0.3704,0.0947,0.0351
CD274,PDCD1,Mast cell,Plasma cell,0.2372,0.1477,0.035
FAS,FASLG,Unknown,Mast cell,0.4983,0.0702,0.035
CD274,PDCD1,Myeloid/Macro,T cell,0.0655,0.5296,0.0347
IL6,IL6R,Fibroblast,Unknown,0.4471,0.0767,0.0343
IL6,IL6R,Myeloid/Macro,Myeloid/Macro,0.0441,0.7757,0.0342
