ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
IL6,IL6R,Endothelial,Dendritic cell,0.2326,0.1254,0.0292
TNF,TNFRSF1A,Dendritic cell,Plasma cell,0.5106,0.0566,0.0289
TNF,TNFRSF1A,NK cell,T cell,0.3667,0.078,0.0286
FAS,FASLG,Fibroblast,T cell,0.2805,0.1019,0.0286
TNF,TNFRSF1A,Endothelial,Myeloid/Macro,0.0482,0.5912,0.0285
VEGFA,KDR,Endothelial,Endothelial,0.1629,0.1746,0.0284
CD80,CTLA4,Endothelial,T cell,0.0513,0.552,0.0283
TNF,TNFRSF1A,Unknown,NK cell,0.276,0.1025,0.0283
CCL5,CCR5,T cell,B cell,2.0187,0.0138,0.0279
CXCL10,CXCR3,Plasma cell,T cell,0.088,0.3155,0.0278
FAS,FASLG,NK cell,T cell,0.2723,0.1019,0.0277
CXCL12,CXCR4,Mast cell,T cell,0.0123,2.2242,0.0274
SPP1,CD44,B cell,Plasma cell,0.0249,1.0933,0.0272
VEGFA,FLT1,Unknown,Endothelial,0.0301,0.9014,0.0271
CXCL10,CXCR3,Fibroblast,T cell,0.0857,0.3155,0.0271
CXCL12,CXCR4,Mast cell,B cell,0.0123,2.1976,0.0271
FAS,FASLG,Mast cell,NK cell,0.116,0.233,0.027
CCL5,CCR5,NK cell,Fibroblast,3.3625,0.008,0.027
VEGFA,FLT1,Endothelial,Myeloid/Macro,0.1629,0.1648,0.0269
TNF,TNFRSF1A,T cell,T cell,0.341,0.078,0.0266
CD274,PDCD1,T cell,T cell,0.0482,0.5391,0.026
CXCL10,CXCR3,Endothelial,Fibroblast,0.2389,0.1088,0.026
FAS,FASLG,B cell,T cell,0.2547,0.1019,0.0259
VEGFA,FLT1,Mast cell,Mast cell,1.1046,0.0235,0.0259
CXCL12,CXCR4,Endothelial,Mast cell,0.0582,0.4447,0.0259
CXCL12,CXCR4,Mast cell,NK cell,0.0123,2.0671,0.0255
FAS,FASLG,Myeloid/Macro,NK cell,0.1079,0.233,0.0251
IL6,IL6R,Unknown,Mast cell,0.0616,0.4018,0.0248
TNF,TNFRSF1A,Endothelial,Fibroblast,0.0482,0.5097,0.0246
CXCL12,CXCR4,Myeloid/Macro,T cell,0.0111,2.2242,0.0246
