ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
IL6,IL6R,Endothelial,Tumor epithelial,0.2326,0.0717,0.0167
DLL1,NOTCH1,Endothelial,Myeloid/Macro,0.1167,0.1423,0.0166
DLL1,NOTCH1,Endothelial,T cell,0.1167,0.1426,0.0166
VEGFA,FLT1,Myeloid/Macro,Tumor epithelial,0.7707,0.0213,0.0164
TNF,TNFRSF1A,Fibroblast,T cell,0.2174,0.0749,0.0163
CD274,PDCD1,B cell,T cell,0.0299,0.5392,0.0161
CD274,PDCD1,Dendritic cell,T cell,0.0295,0.5392,0.0159
CD274,PDCD1,Mast cell,B cell,0.2397,0.0656,0.0157
CXCL10,CXCR3,Myeloid/Macro,Dendritic cell,0.0969,0.1613,0.0156
VEGFA,FLT1,Myeloid/Macro,B cell,0.7707,0.0201,0.0155
CD80,CTLA4,B cell,Plasma cell,0.1885,0.0805,0.0152
CD274,PDCD1,NK cell,T cell,0.0281,0.5392,0.0152
CXCL10,CXCR3,Plasma cell,Dendritic cell,0.0928,0.1613,0.015
CD80,CTLA4,Endothelial,NK cell,0.0513,0.2844,0.0146
CD274,PDCD1,T cell,NK cell,0.0478,0.3047,0.0146
VEGFA,FLT1,Mast cell,Plasma cell,1.1166,0.0129,0.0145
VEGFA,FLT1,Plasma cell,Dendritic cell,0.2116,0.0676,0.0143
TNF,TNFRSF1A,Tumor epithelial,Tumor epithelial,0.0217,0.6608,0.0143
CDH1,CDH1,Unknown,Tumor epithelial,0.0254,0.5585,0.0142
CDH1,CDH1,Tumor epithelial,Unknown,0.5585,0.0254,0.0142
CD274,PDCD1,Mast cell,Myeloid/Macro,0.2397,0.059,0.0141
VEGFA,KDR,Dendritic cell,Endothelial,0.0806,0.1746,0.0141
CXCL10,CXCR3,Fibroblast,Dendritic cell,0.0857,0.1613,0.0138
VEGFA,FLT1,Fibroblast,Mast cell,0.579,0.0237,0.0137
CD274,PDCD1,Plasma cell,NK cell,0.0446,0.3047,0.0136
CD80,CTLA4,Endothelial,Unknown,0.0513,0.2608,0.0134
IL6,IL6R,Plasma cell,Mast cell,0.0331,0.4062,0.0134
VEGFA,FLT1,Dendritic cell,Myeloid/Macro,0.0806,0.1655,0.0133
CXCL10,CXCR3,Myeloid/Macro,Plasma cell,0.0969,0.1371,0.0133
CD274,PDCD1,T cell,Unknown,0.0478,0.2765,0.0132
CD80,CTLA4,Dendritic cell,B cell,0.4829,0.0273,0.0132
CD80,CTLA4,Unknown,NK cell,0.046,0.2844,0.0131
CXCL10,CXCR3,B cell,T cell,0.0405,0.3234,0.0131
