ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TNF,TNFRSF1A,Unknown,T cell,0.2829,0.0736,0.0208
CXCL10,CXCR3,Tumor epithelial,T cell,0.0657,0.3119,0.0205
CD80,CTLA4,Myeloid/Macro,Endothelial,0.1289,0.1583,0.0204
CCL5,CCR5,Myeloid/Macro,Myeloid/Macro,0.2596,0.0774,0.0201
DLL1,NOTCH1,Endothelial,NK cell,0.1141,0.1766,0.0201
CCL5,CCR5,Dendritic cell,Myeloid/Macro,0.2558,0.0774,0.0198
CD80,CTLA4,Dendritic cell,Mast cell,0.5681,0.0349,0.0198
FAS,FASLG,Endothelial,Mast cell,0.28,0.0702,0.0197
DLL1,NOTCH1,Endothelial,Mast cell,0.1141,0.1723,0.0197
FAS,FASLG,NK cell,Mast cell,0.2796,0.0702,0.0196
CD274,PDCD1,Tumor epithelial,Unknown,0.0703,0.2781,0.0196
CCL5,CCR5,Mast cell,Myeloid/Macro,0.2509,0.0774,0.0194
VEGFA,FLT1,Tumor epithelial,Unknown,0.4476,0.0432,0.0193
CCL5,CCR5,Myeloid/Macro,NK cell,0.2596,0.0733,0.019
CXCL12,CXCR4,Plasma cell,Unknown,0.01,1.9028,0.019
FAS,FASLG,Unknown,Plasma cell,0.4938,0.0382,0.0189
FAS,FASLG,Fibroblast,T cell,0.1933,0.0972,0.0188
FAS,FASLG,Endothelial,Unknown,0.28,0.0671,0.0188
FAS,FASLG,NK cell,Unknown,0.2796,0.0671,0.0188
CD274,PDCD1,Endothelial,Plasma cell,0.1159,0.1618,0.0188
CCL5,CCR5,Dendritic cell,NK cell,0.2558,0.0733,0.0187
CD274,PDCD1,Mast cell,Fibroblast,0.2372,0.0781,0.0185
CXCL12,CXCR4,Mast cell,Dendritic cell,0.0123,1.493,0.0184
CCL5,CCR5,Mast cell,NK cell,0.2509,0.0733,0.0184
CCL5,CCR5,B cell,T cell,0.2044,0.0897,0.0183
CD274,PDCD1,Dendritic cell,T cell,0.0347,0.5288,0.0183
CXCL10,CXCR3,Myeloid/Macro,Dendritic cell,0.0966,0.1898,0.0183
CD274,PDCD1,Myeloid/Macro,Unknown,0.0653,0.2781,0.0182
CCL5,CCR5,Endothelial,Unknown,1.0562,0.0173,0.0182
TNF,TNFRSF1A,Endothelial,Endothelial,0.0471,0.3849,0.0181
TNF,TNFRSF1A,Fibroblast,Plasma cell,0.2258,0.08,0.0181
FAS,FASLG,B cell,Mast cell,0.2575,0.0702,0.0181
VEGFA,FLT1,Myeloid/Macro,Mast cell,0.7644,0.0235,0.0179
CD80,CTLA4,T cell,T cell,0.0328,0.5428,0.0178
FAS,FASLG,Unknown,Endothelial,0.4938,0.0359,0.0177
IL6,IL6R,Myeloid/Macro,Mast cell,0.044,0.4018,0.0177
IL6,IL6R,Unknown,Mast cell,0.0436,0.4018,0.0175
TNF,TNFRSF1A,Plasma cell,Unknown,0.1525,0.1138,0.0174
VEGFA,KDR,Tumor epithelial,Tumor epithelial,0.4476,0.039,0.0174
FAS,FASLG,B cell,Unknown,0.2575,0.0671,0.0173
TNF,TNFRSF1A,Myeloid/Macro,Unknown,0.1517,0.1138,0.0173
FAS,FASLG,T cell,Plasma cell,0.4437,0.0382,0.0169
TNF,TNFRSF1A,Plasma cell,NK cell,0.1525,0.1107,0.0169
CXCL10,CXCR3,Fibroblast,Dendritic cell,0.089,0.1898,0.0169
SPP1,CD44,B cell,Endothelial,0.0246,0.6842,0.0169
TNF,TNFRSF1A,Myeloid/Macro,NK cell,0.1517,0.1107,0.0168
FAS,FASLG,Plasma cell,Mast cell,0.2401,0.0702,0.0168
DLL1,NOTCH1,Endothelial,B cell,0.1141,0.1462,0.0167
DLL1,NOTCH1,Myeloid/Macro,Unknown,0.0619,0.2689,0.0167
TNF,TNFRSF1A,Fibroblast,T cell,0.2258,0.0736,0.0166
CCL5,CCR5,T cell,Fibroblast,1.9854,0.0083,0.0166
DLL1,NOTCH1,Endothelial,T cell,0.1141,0.1449,0.0165
CXCL12,CXCR4,Myeloid/Macro,Dendritic cell,0.0111,1.493,0.0165
HGF,MET,Endothelial,Tumor epithelial,0.0551,0.3003,0.0165
CXCL10,CXCR3,Myeloid/Macro,Plasma cell,0.0966,0.1693,0.0163
VEGFA,FLT1,Myeloid/Macro,Tumor epithelial,0.7644,0.0213,0.0163
IL6,IL6R,Endothelial,Tumor epithelial,0.2273,0.0717,0.0163
DLL1,NOTCH1,Myeloid/Macro,Endothelial,0.0619,0.2611,0.0162
VEGFA,KDR,Dendritic cell,Endothelial,0.0948,0.1706,0.0162
DLL1,NOTCH1,Endothelial,Myeloid/Macro,0.1141,0.1417,0.0162
CD274,PDCD1,T cell,NK cell,0.0487,0.3303,0.0161
FAS,FASLG,Plasma cell,Unknown,0.2401,0.0671,0.0161
FAS,FASLG,T cell,Endothelial,0.4437,0.0359,0.0159
CXCL10,CXCR3,Plasma cell,Dendritic cell,0.0837,0.1898,0.0159
CCL5,CCR5,B cell,Myeloid/Macro,0.2044,0.0774,0.0158
CD274,PDCD1,B cell,T cell,0.0296,0.5288,0.0156
VEGFA,FLT1,Dendritic cell,Myeloid/Macro,0.0948,0.1648,0.0156
CXCL12,CXCR4,Mast cell,Myeloid/Macro,0.0123,1.2666,0.0156
IL6,IL6R,Endothelial,Unknown,0.2273,0.0683,0.0155
CD274,PDCD1,Mast cell,B cell,0.2372,0.065,0.0154
CD80,CTLA4,Dendritic cell,B cell,0.5681,0.0271,0.0154
TNF,TNFRSF1A,Plasma cell,Dendritic cell,0.1525,0.1002,0.0153
CD80,CTLA4,Myeloid/Macro,Plasma cell,0.1289,0.1184,0.0153
FAS,FASLG,Tumor epithelial,NK cell,0.0595,0.2576,0.0153
VEGFA,FLT1,Plasma cell,Dendritic cell,0.1906,0.0795,0.0152
VEGFA,FLT1,Myeloid/Macro,B cell,0.7644,0.0199,0.0152
CXCL10,CXCR3,Myeloid/Macro,Unknown,0.0966,0.1579,0.0152
TNF,TNFRSF1A,Myeloid/Macro,Dendritic cell,0.1517,0.1002,0.0152
CXCL10,CXCR3,Fibroblast,Plasma cell,0.089,0.1693,0.0151
CXCL10,CXCR3,Myeloid/Macro,Fibroblast,0.0966,0.1565,0.0151
CCL5,CCR5,B cell,NK cell,0.2044,0.0733,0.015
